_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
6790297c58d39b7843f1fbd3,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,UNIDAD EDUCATIVA PARTICULAR ROSA DE JESUS CORDERO,01B00002,Ordinario,Particular,Urbana,Sierra,Intercultural,86,10,96,1473,0,1473,1455,0,0,0,18,0
6790297c58d39b7843f1fc3d,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,RENACER,01H00098,Ordinario,Particular,Urbana,Sierra,Intercultural,8,1,9,36,46,82,82,0,0,0,0,0
6790297c58d39b7843f1fc3e,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,GABRIEL CEVALLOS GARCIA,01H00100,Ordinario,Fiscal,Urbana,Sierra,Intercultural,9,4,13,153,208,361,360,1,0,0,0,0
6790297c58d39b7843f1fc3f,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,SANTO TOMAS,01H00101,Ordinario,Particular,Urbana,Sierra,Intercultural,5,8,13,23,30,53,53,0,0,0,0,0
6790297c58d39b7843f1fc40,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,EZEQUIEL CRESPO AMBROSI,01H00102,Ordinario,Fiscal,Urbana,Sierra,Intercultural,16,10,26,9,639,648,646,0,0,1,1,0
6790297c58d39b7843f1fc41,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,13  DE ABRIL,01H00105,Ordinario,Fiscal,Urbana,Sierra,Intercultural,6,1,7,59,77,136,136,0,0,0,0,0
6790297c58d39b7843f1fc42,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,FRANCISCO FEBRES CORDERO,01H00106,Ordinario,Fiscal,Urbana,Sierra,Intercultural,24,51,75,547,1180,1727,1719,4,0,3,1,0
6790297c58d39b7843f1fc43,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,CENTRO DE FORMACION SAN VICENTE DE PAUL,01H00109,Popular Permanente,Particular,Urbana,Sierra,Intercultural,5,0,5,83,0,83,83,0,0,0,0,0
6790297c58d39b7843f1fc44,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,DOLORES J. TORRES,01H00111,Ordinario,Fiscal,Urbana,Sierra,Intercultural,24,1,25,704,0,704,694,0,0,1,9,0
6790297c58d39b7843f1fc45,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL SAGRARIO,10104,CARLOS CUEVA TAMARIZ,01H00112,Ordinario,Fiscal,Urbana,Sierra,Intercultural,38,31,69,517,647,1164,1161,0,0,0,1,2
