_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
6790297f58d39b7843f2d364,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,JADAN,10353,TERESA MORALES VILLAVICENCIO,01H01029,Ordinario,Fiscal,Rural,Sierra,Intercultural,4,3,7,50,62,112,112,0,0,0,0,0
6790297f58d39b7843f2d365,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,JADAN,10353,LUIS ESPINOZA TERAN,01H01031,Ordinario,Fiscal,Rural,Sierra,Intercultural,4,0,4,30,26,56,56,0,0,0,0,0
6790297f58d39b7843f2d366,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,JADAN,10353,JOAQUIN MALO VALDIVIEZO,01H01033,Ordinario,Fiscal,Rural,Sierra,Intercultural,4,0,4,27,44,71,71,0,0,0,0,0
6790297f58d39b7843f2d367,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,JADAN,10353,FRANCISCO PAREDES HERRERA,01H01034,Ordinario,Fiscal,Rural,Sierra,Intercultural,0,2,2,13,15,28,28,0,0,0,0,0
6790297f58d39b7843f2d368,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,GUALACEO,10350,JOSÉ LEOVIGILDO BOLAÑOS FLORES,01H01035,Ordinario,Fiscal,Urbana,Sierra,Intercultural,1,1,2,15,15,30,30,0,0,0,0,0
6790297f58d39b7843f2d369,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,JADAN,10353,FEDERICO GUERRERO,01H01036,Ordinario,Fiscal,Rural,Sierra,Intercultural,9,6,15,89,98,187,187,0,0,0,0,0
6790297f58d39b7843f2d36a,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,JADAN,10353,EL AMANECER,01H01037,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,1,2,17,12,29,29,0,0,0,0,0
6790297f58d39b7843f2d36b,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,JADAN,10353,UNIDAD EDUCATIVA MONSENOR LEONIDAS PROANO,01H01039,Popular Permanente,Fiscomisional,Rural,Sierra,Intercultural,3,0,3,21,25,46,46,0,0,0,0,0
6790297f58d39b7843f2d36c,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,JADAN,10353,TADEO TORRES,01H01041,Ordinario,Fiscal,Rural,Sierra,Intercultural,10,5,15,169,160,329,329,0,0,0,0,0
6790297f58d39b7843f2d36d,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,JADAN,10353,JADAN,01H01042,Ordinario,Fiscal,Rural,Sierra,Intercultural,15,3,18,126,147,273,273,0,0,0,0,0
6790297f58d39b7843f2d36e,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,MARIANO MORENO,10354,RIO TOMEBAMBA,01H01044,Ordinario,Fiscal,Rural,Sierra,Intercultural,5,6,11,64,68,132,132,0,0,0,0,0
6790297f58d39b7843f2d36f,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,MARIANO MORENO,10354,CESAR ASTUDILLO,01H01045,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,1,2,10,20,30,29,0,0,0,1,0
6790297f58d39b7843f2d370,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,MARIANO MORENO,10354,JOSE IGNACIO CANELOS,01H01046,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,0,1,5,8,13,13,0,0,0,0,0
6790297f58d39b7843f2d371,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,MARIANO MORENO,10354,CUSTODIO VINTIMILLA,01H01047,Ordinario,Fiscal,Rural,Sierra,Intercultural,4,2,6,45,48,93,91,1,0,0,1,0
6790297f58d39b7843f2d372,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,MARIANO MORENO,10354,ROTARY CLUB,01H01048,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,0,1,7,2,9,9,0,0,0,0,0
